RUBRO,NOMBRE_FANTASIA,DIRECCION,NUMERO,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABITACIONES,PLAZAS,TITULAR,E-MAIL,DIRECCION_COMPLETA,LATITUD,LONGITUD,cluster
HOTEL,PROVINCIAL,BELGRANO,1259,CIUDAD,CAPITAL,4231477,HOTEL,3 ESTRELLAS,INSCRIPTO,36,73.0,"SCAFATI DE BARBERO, ELSA",info@hotelprovincialmza.com.ar - www.hotelrpovincialmza.com,HOTEL PROVINCIAL CIUDAD CAPITAL MENDOZA,-32.887029,-68.848992,1
HOSPEDAJE,DERBY,PATRICIAS MENDOCINAS,1643,CIUDAD,CAPITAL,4290827,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,28,80.0,"SALPIETRO, MARIA Y.",mpiamolgatini@gmail.com,HOSPEDAJE DERBY CIUDAD CAPITAL MENDOZA,-32.8840553,-68.8415511,1
ALOJAMIENTO,AVENIDA,25 DE MAYO,1564,CIUDAD,LA PAZ,0623-15522293,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"OJEDA, DELIA DOLORES",,ALOJAMIENTO AVENIDA CIUDAD LA PAZ MENDOZA,-33.45928,-67.5497468,0
HOTEL,SAN REMO,AV.GODOY CRUZ,477,CIUDAD,CAPITAL,4234068,HOTEL,2 ESTRELLAS,INSCRIPTO,39,94.0,"CALA, FRANCISCO",sanremohotel@ciudad.com.ar,HOTEL SAN REMO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
CABAÑAS,ARCO IRIS,PIEDRAS BLANCAS,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481062,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,3,18.0,"MARCHETTA, M.CRISTINA ROCCA DE",gabmarch@yahoo.com,CABAÃÂ¥AS ARCO IRIS POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9621922,-68.8592982,1
CABAÑAS,MOTEL ZURI,RUTA PANAMERICANA,KM30,COLONIA SUIZA,LUJAN DE CUYO,156521706,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,10,20.0,"GOOD, JOSEF RENE",,CABAÃÂ¥AS MOTEL ZURI COLONIA SUIZA LUJAN DE CUYO MENDOZA,-32.9934519,-68.8869352,1
HOTEL,NUTIBARA,AV.MITRE,867,CIUDAD,CAPITAL,4295428,HOTEL,3 ESTRELLAS,INSCRIPTO,51,110.0,NUTIBARA S.R.L.,nutibara@lanet.com.ar www.nutibara.com.ar,HOTEL NUTIBARA CIUDAD CAPITAL MENDOZA,-32.8922419,-68.8449698,1
HOTEL,PUELCHES,CANADA,85,CIUDAD,SAN RAFAEL,0260-4431536,HOTEL,2 ESTRELLAS,INSCRIPTO,25,85.0,"FERNANDEZ, RODOLFO Y SALVADOR",hotelpuelches@hotmail.com,HOTEL PUELCHES CIUDAD SAN RAFAEL MENDOZA,-34.6051271,-68.3577876,0
ALOJAMIENTO,THE VINES RESORT AND SPA,RUTA 94,KM.1149,LOS SAUCES,TUNUYAN,4613910,ALOJAMIENTO,SIN CATEGORIZAR,E/T,30,60.0,VINES MANAGEMENT S.R.L.,,ALOJAMIENTO THE VINES RESORT AND SPA LOS SAUCES TUNUYAN MENDOZA,-33.5890596,-69.2196453,3
ALOJAMIENTO,MOLINO LATABAIDA,SOLDADO DE LA INDEPENDENCIA,650,CIUDAD,SAN MARTIN,0263-4422952,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,ARALANDO S.A.,info@molinotebaida.com,ALOJAMIENTO MOLINO LATABAIDA CIUDAD SAN MARTIN MENDOZA,-33.0931335,-68.4621788,1
HOTEL,CRILLON,PERU,1065,CIUDAD,CAPITAL,4295161-4298494,HOTEL,3 ESTRELLAS,INSCRIPTO,68,144.0,HOTEL CRILLON SRL,admin@hcrillon.com.ar www.hcrillon.com.ar,HOTEL CRILLON CIUDAD CAPITAL MENDOZA,-32.889415,-68.8482789,1
ALOJAMIENTO,COLORINA,CANADA,335,CIUDAD,SAN RAFAEL,0260-4437397/4447539,ALOJAMIENTO,SIN CATEGORIZAR,E/T,28,138.0,COLORINA S.R.L.,colorinaspa@gmail.com,ALOJAMIENTO COLORINA CIUDAD SAN RAFAEL MENDOZA,-34.6035508,-68.3557226,0
HOTEL,SAN PEDRO,BULOGNE SUR MER,1050,CIUDAD,SAN MARTIN,02623-427400/420347,HOTEL,2 ESTRELLAS,INSCRIPTO,27,64.0,SAN ANDRES S.A.,,HOTEL SAN PEDRO CIUDAD SAN MARTIN MENDOZA,-33.0775769,-68.4896834,1
HOTEL,VILLA INES,SOBREMONTE,648,CIUDAD,CAPITAL,4200968/4258019,HOTEL,2 ESTRELLAS,INSCRIPTO,21,56.0,"VIDAL DE VELAZCO, LIDIA",hotelvillainesmza@yahoo.com.ar - lidiavidal@infovia.com.ar,HOTEL VILLA INES CIUDAD CAPITAL MENDOZA,-32.8957978,-68.8600053,1
HOTEL,NIVENTUS,AMIGORENA,36,CIUDAD,CAPITAL,4200035,HOTEL,3 ESTRELLAS,INSCRIPTO,50,112.0,RECREATUR TURISMO S.A.,info@hotelniventus.com.ar www.hotelniventus.com.ar,HOTEL NIVENTUS CIUDAD CAPITAL MENDOZA,-32.8920541,-68.8387064,1
ALOJAMIENTO,LA POLLAZA,RUTA NAC. 144,"KM.672,5",CUADRO BENEGAS,SAN RAFAEL,0260-154610353,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,30.0,"MEDINA, JOSE MIGUEL",,ALOJAMIENTO LA POLLAZA CUADRO BENEGAS SAN RAFAEL MENDOZA,-34.6265774,-68.4320292,0
ALOJAMIENTO,CABAÃÂ¥AS COCO,RUTA PROV.82,KM29,LAS COMPUERTAS,LAS HERAS,4106685,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,17.0,"ROSAS, HILARIA VALENTINA",,ALOJAMIENTO CABAÃÂ¥AS COCO LAS COMPUERTAS LAS HERAS MENDOZA,-33.0358959,-68.9730719,1
HOTEL,NUEVO CASTILLO,GUTIERREZ,572,CIUDAD,CAPITAL,4231766,HOTEL,1 ESTRELLA,INSCRIPTO,20,50.0,"VIAJANDE, GERMAN LUCIANO",gviajande@gmail.com,HOTEL NUEVO CASTILLO CIUDAD CAPITAL MENDOZA,-32.887291,-68.8462934,1
HOTEL,CASTELAR,GUTIERREZ,598,CIUDAD,CAPITAL,4234245,HOTEL,2 ESTRELLAS,INSCRIPTO,18,45.0,"SAT, EMILIA NURIMAR",hotelcastelar@itcsa.net www.hotelcastelarmza.com.ar,HOTEL CASTELAR CIUDAD CAPITAL MENDOZA,-32.8872697,-68.8463517,1
APART-HOTEL,URBANA SUITES,25 DE MAYO,1590,CIUDAD,CAPITAL,4340333,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,27,60.0,APART URBANA S.A EN FORMACION,gerencia@urbanasuites.com.ar w.w.w.urbanasuites.com.ar,APART-HOTEL URBANA SUITES CIUDAD CAPITAL MENDOZA,-32.883884,-68.845932,1
ALOJAMIENTO,COMPLEJO LA PIEDRA,BELTRAN,S/N,EL NIHUIL,SAN RAFAEL,0260-4438320,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,6.0,"MARTINEZ, EDUARDO ARMANDO",,ALOJAMIENTO COMPLEJO LA PIEDRA EL NIHUIL SAN RAFAEL MENDOZA,-35.0307388,-68.6717052,0
HOTEL,INTERNACIONAL,SARMIENTO,720,CIUDAD,CAPITAL,4255600,HOTEL,4 ESTRELLAS,INSCRIPTO,56,120.0,LOURDES S.A.I.C.A.E.I.,reservas@hinternacional.com.ar www.hinternacionalcom.ar,HOTEL INTERNACIONAL CIUDAD CAPITAL MENDOZA,-32.8890823,-68.8487019,1
ALOJAMIENTO,PUERTA DEL SOL,GARIBALDI,82,CIUDAD,CAPITAL,4204820,ALOJAMIENTO,SIN CATEGORIZAR,E/T,77,174.0,"COOP.LUZ Y FUERZA DE CREDITO, CONSUMO Y VIVIENDA LTDA.",reservas@hotelpuertadelsol.com.ar,ALOJAMIENTO PUERTA DEL SOL CIUDAD CAPITAL MENDOZA,-32.8907737,-68.8375466,1
HOSTERIA,LOS CONDORES,LAS HERAS,S/N,USPALLATA,LAS HERAS,4611409 - 02624-420002,HOSTERIA,1 ESTRELLA,INSCRIPTO,13,45.0,"SUTER, ALEJANDRA EUGENIA",rmolina@uspallatadigital.com.ar www.hostalloscondores.com.ar,HOSTERIA LOS CONDORES USPALLATA LAS HERAS MENDOZA,-32.5911794,-69.3471243,1
HOTEL,CATEDRAL,PATRICIAS MENDOCINAS,1785,CIUDAD,CAPITAL,4236423,HOTEL,2 ESTRELLAS,INSCRIPTO,20,46.0,MUTUAL CIRCULO SUBOFICIALES G.N.,cirsubgan_mendoza@yahoo.com.ar,HOTEL CATEDRAL CIUDAD CAPITAL MENDOZA,-32.8822055,-68.8410083,1
HOTEL,HUENTALA HOTEL BOUTIQUE,PRIMITIVO DE LA RETA,1007,CIUDAD,CAPITAL,4200766/664,HOTEL,4 ESTRELLAS,INSCRIPTO,83,142.0,VITAL S.A.,reservas@huentala.com www.huentala.com.ar,HOTEL HUENTALA HOTEL BOUTIQUE CIUDAD CAPITAL MENDOZA,-32.8919487,-68.8381429,1
ALOJAMIENTO,LA POSADA DEL MONTAÃÂ¥EZ,CALLEJON ARCANGELETTI,879,CIUDAD,MALARGUE,0260-4636264,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,6.0,"YBAÃÂ¥EZ, DIEGO ARIEL",laposadadelmontanes@outlook.com,ALOJAMIENTO LA POSADA DEL MONTAÃÂ¥EZ CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
MOTEL,HOSTAL DE LOS ANDES,AV.ACCESO ESTE,KM11,RODEO DE LA CRUZ,GUAYMALLEN,4910595-4912297,MOTEL,2 ESTRELLAS,INSCRIPTO,16,80.0,"GULLO, VICTOR JOSE",victorgullo@infovia.com.ar,MOTEL HOSTAL DE LOS ANDES RODEO DE LA CRUZ GUAYMALLEN MENDOZA,-32.9397224,-68.7403806,1
ALOJAMIENTO,FUENTE MAYOR HOTEL & RESORT,ESPEJO,565,CIUDAD,CAPITAL,4243960,ALOJAMIENTO,SIN CATEGORIZAR,E/T,64,128.0,FUANTE MAYOR S.A.,eventos@hotelfuente mayor.com,ALOJAMIENTO FUENTE MAYOR HOTEL & RESORT CIUDAD CAPITAL MENDOZA,-33.633667,-69.1485564,3
ALOJAMIENTO,PENITENTES,RUTA 7,KM165,LOS PENITENTES,LAS HERAS,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,17,54.0,"PONS, JUAN GUILLERMO",,ALOJAMIENTO PENITENTES LOS PENITENTES LAS HERAS MENDOZA,-32.8420095,-69.8402103,1
HOTEL,SOL ANDINO,AV.GODOY CRUZ,102,CIUDAD,CAPITAL,4256075,HOTEL,2 ESTRELLAS,INSCRIPTO,60,170.0,DESTINO VIP S.R.L.,reservas@hotelcordondelplata.com.ar,HOTEL SOL ANDINO CIUDAD CAPITAL MENDOZA,-32.884078,-68.8392678,1
HOSPEDAJE,VALLE AZUL,AV.JUAN B.JUSTO,365,CIUDAD,CAPITAL,4297885,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,23,65.0,"TRAVAGLINI, PATRICIA",cyber-cuyo@hotmail.com,HOSPEDAJE VALLE AZUL CIUDAD CAPITAL MENDOZA,-32.8818969,-68.8537549,1
HOSPEDAJE,ESPAÃÂ¥A,ALVEAR,165,CIUDAD,LUJAN DE CUYO,4980411-4985009,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,11,45.0,WENCESLAO HOUDEK E HIJOS,mmelag@infovia.com.ar,HOSPEDAJE ESPAÃÂ¥A CIUDAD LUJAN DE CUYO MENDOZA,-32.9934519,-68.8869352,1
HOTEL,PACIFICO,AV.SAN JUAN,1407,CIUDAD,CAPITAL,4201025,HOTEL,2 ESTRELLAS,INSCRIPTO,48,100.0,KIM GIK HYUN - PACÃÂFICO SRL,hotelpacificomendoza@gmail.com,HOTEL PACIFICO CIUDAD CAPITAL MENDOZA,-32.8872861,-68.8367336,1
ALOJAMIENTO,TERMAS DE CACHEUTA,RUTA PROV.82,KM38,CACHEUTA,LUJAN DE CUYO,4290936,ALOJAMIENTO,SIN CATEGORIZAR,E/T,16,40.0,TERMALIA S.A.,www.termascacheuta.com,ALOJAMIENTO TERMAS DE CACHEUTA CACHEUTA LUJAN DE CUYO MENDOZA,-33.0136618,-69.117611,1
HOTEL,SHERATON MENDOZA HOTEL,PRIMITIVO DE LA RETA,989,CIUDAD,CAPITAL,4415500,HOTEL,5 ESTRELLAS,INSCRIPTO,180,360.0,CELA S.A.,www.sheraton.com/mendoza,HOTEL SHERATON MENDOZA HOTEL CIUDAD CAPITAL MENDOZA,-32.8922273,-68.8380012,1
HOTEL,MILLALEN,ORTIZ DE ROSAS,198,CIUDAD,SAN RAFAEL,0260-4432608/4422776,HOTEL,2 ESTRELLAS,INSCRIPTO,19,48.0,LINOR S.R.L,hotelmillalen@infovia.com.ar,HOTEL MILLALEN CIUDAD SAN RAFAEL MENDOZA,-34.6226621,-68.330482,0
HOTEL,NECOCHEA,NECOCHEA,541,CIUDAD,CAPITAL,4253501/4235112,HOTEL,1 ESTRELLA,INSCRIPTO,18,50.0,"VALLEJOS, RUBÃÂN",hotelnecochea@supernet.com.ar www.mendozatour.com.ar/necochea,HOTEL NECOCHEA CIUDAD CAPITAL MENDOZA,-32.8860247,-68.845387,1
PAT,BELLA VISTA LOFT,"BÃÂ§ LOS ARGAURIBAY-MZ.""B""-LOTE 1",S/N,EL CHALLAO,LAS HERAS,5240763/764,PAT,PAT,INSCRIPTO,,,"COSTARELLI, VIVIANA RAQUEL",,PAT BELLA VISTA LOFT EL CHALLAO LAS HERAS MENDOZA,-32.8537051,-68.8854487,1
HOSPEDAJE,ATUEL,CORONEL SUAREZ,124,CIUDAD,SAN RAFAEL,0260-4438282,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,20,40.0,"VERDUGO, FABRICIO",hotelatuel@yahoo.com.ar,HOSPEDAJE ATUEL CIUDAD SAN RAFAEL MENDOZA,-34.614718,-68.3668266,0
HOTEL,VALLE ANDINO,RUTA 7,S/N,USPALLATA,LAS HERAS,261-5977858/02624-420095,HOTEL,SIN CATEGORIZAR,E/T,26,103.0,COOP.DE TRABAJO LOS CONDORES LTDA.,cootralco@hotmail.com,HOTEL VALLE ANDINO USPALLATA LAS HERAS MENDOZA,-32.6025206,-69.3517816,1
HOTEL,CENTER,ALEM,547,CIUDAD,CAPITAL,4237234,HOTEL,1 ESTRELLA,INSCRIPTO,21,57.0,"DENARO, HUGO-ANGEL-ANA MARIA",centerhotel2001@yahoo.com.ar,HOTEL CENTER CIUDAD CAPITAL MENDOZA,-32.8929694,-68.8325615,1
APART-HOTEL,SAN MARTIN APART HOTEL,SAN MARTIN,435,CIUDAD,SAN RAFAEL,0260-4420400/4433363,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,15,58.0,"SALONIA, FABIO FRANCISCO",hotelsnamartin@infovia.com.ar www.hotelapartsanmartin.com.ar,APART-HOTEL SAN MARTIN APART HOTEL CIUDAD SAN RAFAEL MENDOZA,-34.6116522,-68.3278539,0
CABAÑAS,EDELWEIS,LOS CLAVELES,S/N,POTRERILLOS,LUJAN DE CUYO,4202449,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,2,13.0,"AZEGLIO, ALDO",,CABAÃÂ¥AS EDELWEIS POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
HOTEL,BLANCO,DORREGO,660,DORREGO,GUAYMALLEN,4319688,HOTEL,1 ESTRELLA,INSCRIPTO,15,45.0,"BLANCO, VÃÂCTOR ALBERTO",,HOTEL BLANCO DORREGO GUAYMALLEN MENDOZA,-32.9031592,-68.8286135,1
HOTEL,TURISMO TUPUNGATO,BELGRANO,1060,CIUDAD,TUPUNGATO,02622-488007,HOTEL,1 ESTRELLA,INSCRIPTO,33,98.0,MUNICIPALIDAD DE TUPUNGATO,hotelturismo@tupungato.gov.ar,HOTEL TURISMO TUPUNGATO CIUDAD TUPUNGATO MENDOZA,-33.3652489,-69.1447293,3
HOSTERIA,CERRO NEVADO (EX-LA CANALETA),ING.FRANCISCO GUIÃÂ¥AZU,S/N,POTRERILLOS,LUJAN DE CUYO,,HOSTERIA,1 ESTRELLA,INSCRIPTO,14,36.0,"SUAREZ, CARLOS J.",,HOSTERIA CERRO NEVADO (EX-LA CANALETA) POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
CAMPING,TERMAS DE CACHEUTA,RUTA 7,KM39,CACHEUTA,LUJAN DE CUYO,02624-490152/153,CAMPING,1 ESTRELLA,INSCRIPTO,____,,COOPERATIVA DE LOS ANDES,reservas@termascacheuta.com,CAMPING TERMAS DE CACHEUTA CACHEUTA LUJAN DE CUYO MENDOZA,-33.0136618,-69.117611,1
CAMPING,EL MANZANO,LOC. EL MANZANO,S/N,EL MANZANO,TUNUYAN,,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,"FERNANDEZ, JUAN DE DIOS",,CAMPING EL MANZANO EL MANZANO TUNUYAN MENDOZA,-33.6022298,-69.3831155,3
